id;id_origin;id_end
0;0;1
1;0;2
2;0;3
3;1;2
4;1;3
5;2;3
6;0;4
7;0;5
8;0;6
9;1;4
10;1;5
11;1;7
12;2;4
13;2;6
14;2;7
15;3;5
16;3;6
17;3;7
18;8;10
19;8;11
20;8;12
21;8;13
22;9;10
23;9;11
24;9;12
25;9;13
26;10;12
27;10;13
28;11;12
29;11;13
30;0;22
31;0;18
32;0;14
33;6;22
34;6;19
35;6;16
36;3;23
37;3;17
38;3;19
39;5;23
40;5;15
41;5;18
42;4;14
43;4;24
44;4;20
45;2;24
46;2;16
47;2;21
48;7;17
49;7;21
50;7;25
51;1;15
52;1;18
53;1;25
54;16;17
55;14;15
56;22;24
57;23;25
58;19;18
59;21;20
60;31;34
61;31;29
62;31;28
63;31;37
64;31;30
65;30;34
66;30;26
67;30;27
68;30;37
69;33;26
70;33;27
71;33;36
72;33;35
73;33;32
74;32;35
75;32;29
76;32;28
77;32;36
78;34;26
79;34;35
80;34;29
81;35;26
82;35;29
83;37;28
84;37;36
85;37;27
86;36;28
87;36;27
88;27;26
89;28;29
